Geography,Wages (1),Type of work,North American Industry Classification System (NAICS) (4),Sex,Age group,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Transportation and warehousing [48-49] ,Both sexes,15 to 24 years,337.03,442.78,391.15,380.77,357.76,299.79,314.75,265.18,297.9,227.46,377.05,455.07,350.79,370.75,402.88,319.03,291.82,386.3,521.23,492.03,439.23,350.15,218.96,208.59,310.24,329.64,339.18,535.04,319.47,393.59,425.06,271.65,386.97,405.66,x,252.56,x,342.38,x,x,429.89,407.09,364.74,355.81,387.37,399.15,362.57,457.58,367.8,370.12,570.45,586.6,508.08,344.3,386.7,393.73,340.33,348.09,326.61,475.17,338.53,354.96,254.94,218.91,404.89,411.54,531.57,468.76,508.74,556.86,481.08,523.6,368.34,349.67,380.41,710,608.6,288.47,390.21,396.21,464.23,x,x,x,x,x,481.78,313.54,361.45,271.21,333.41,432.23,341.49,468.73,399.32,455.44,446.88,x,392.23,x,412.64,453.38,319.75,381.93,283.14,364.46,506.04,436.55,423.16,418.72,579.96,608.19,499.22,564.11,560.25,496.54,620.99,x,x,x,x,680.81,691.65,511.33,569.26,495.98,514.09,400.65,396.24,439.19,462.47,443.89,363.55,365.38,374.3,374.12,x,706.16,469.36,504.78,456.03,388.78,369.37,x,x,457.53,x,x,x,x,491.41,559.74,715,468.82,391.88,311.83,266.06,252.73,330.74,250.56,253.06,582.06,531.11,579.99,604.54,617.3,562.69,509.71,490.04,413.09,404.3,535.04,551.96,528.84,553.99,637.34,628.04,604.85,592.4,786.56,842.37
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,"Finance, insurance, real estate and leasing [52-53] ",Both sexes,15 to 24 years,390.78,323.78,254.3,215.51,279.83,281.12,250.88,252.13,325.13,308.82,287.11,330.82,308.04,317.77,309.22,401.27,319.76,368.4,388.27,401.7,246.49,153.9,144.8,450.61,478.38,459.35,342.37,336.21,386.26,375.63,327.41,364.83,337.57,201.22,218.45,299.01,300.43,269.63,379.6,346.21,354.29,274.58,253.21,271.88,264.64,344.53,417.61,415.46,607.19,307.8,305.98,320.19,302.01,315.97,402.02,369.61,308.33,291.49,268.9,396.02,380.11,435.65,416.55,430.35,390.22,417.67,460.12,425,379.9,242.61,286.64,276.84,303.36,325.88,307.13,363.12,364.22,398.53,382.7,342.95,403.21,378.86,356.16,368.94,411.56,468.7,455.86,370.15,393.53,290.72,454.37,478.66,532.55,409.17,429.61,441.86,382.96,345.28,313.2,368.36,409.56,430.96,325.12,388.18,272.82,364.52,290.32,274.51,305.31,303.68,379.82,466.98,370.13,409.24,401.35,330.24,445.51,305.93,247.16,346.11,335,406.3,378.81,431.33,513.01,351.27,416.51,387.78,350.37,552.12,412.24,466.84,443.83,404.11,514.31,361.83,434.7,459.89,496.18,481.38,402.07,366.94,339.79,288.4,374.57,393.07,434.8,451.84,432.75,454.02,401.22,517.09,446.94,426.72,447.63,384.18,387.78,371.99,438.56,489.88,502.21,625.3,496.21,527.73,519.63,551.29,516.5,530.21,528.76,460.93,413.69,591.58,428.25,406.03,416.28,545.07,679.75,613.23,643.05,682.67,751.86
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,"Professional, scientific and technical services [54] ",Both sexes,15 to 24 years,479.53,501.05,403.28,360.68,345.73,367.5,416.31,313.24,292.79,277.76,307.06,311.39,x,259.93,462.35,496.67,544.55,593.11,524.1,517.1,482.22,464.66,483.84,459.82,287.81,315.92,292.88,440.94,433.2,376.64,403.03,352.93,430.53,x,449.12,460.07,320.8,351.36,421.76,499.2,414.04,439.57,499.75,501.08,529.79,417.83,344.71,440.78,373.81,367.02,346.11,406.21,434.79,445.71,491.82,494.82,446.58,450.19,455.07,468.22,526.75,427.54,459.41,422.41,494.66,599.52,505.29,422.84,354.2,408.21,458.97,414.43,431.2,430.42,480.09,427.93,383.71,434.81,525.3,490.51,729.41,401.29,440.84,424.39,460.81,493.22,616.92,520.86,649.31,483.23,462.22,385.05,381.23,373.72,530.5,528.56,x,446.02,460.57,490.64,462.24,520.69,493.63,459.17,470.41,499.76,685.52,753.06,647.33,627.67,438.61,464.4,411.94,324.12,340.58,462.01,x,651.11,470.42,407.55,499.03,472.98,536.36,571.78,600.77,572.7,548.92,540.72,567.02,508.06,444.12,498.8,499.04,430.73,247.94,341.49,487.39,580.19,612.47,648.65,539.83,443.26,385.81,347.52,364.38,576.23,525.48,653.7,612.79,683.43,649.07,566.81,575.33,599.26,559.25,476.05,433.64,462.01,432.32,585.47,425.52,475.28,492.72,613.29,612.24,587.55,628.51,642.57,412.73,569.11,336.84,x,552.19,655.35,615.83,420.99,433.78,464.49,382.69,443.44,610.76
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,"Business, building and other support services [55-56]  (6)",Both sexes,15 to 24 years,273.53,279.25,229.99,343.18,285.21,313.49,302.82,338.16,260.24,303.37,321.4,309.92,263.01,300.07,281.41,268.33,335.39,315.82,296.91,346.62,294.12,280.27,269.64,266.47,321.64,291.48,286.12,323.33,331,345.91,349.03,335.91,320.45,320.41,337.14,317.45,306.52,310.65,292.39,266.58,310.17,327.13,289.1,321.29,324.9,329.21,322.05,315.48,269.68,311.22,349.7,362.97,344.18,374.16,370.03,352.38,320.45,332.68,331.74,333.09,310.52,312.52,338.16,344.97,358.41,359.4,325.55,323.27,343.77,343.3,320.48,303.27,329.49,342.06,286.12,323.7,367.65,340.75,332.1,360.87,344.63,329.88,336.53,334.29,348.13,363.57,357.75,366.06,388.22,371.53,366.91,380.3,389.35,378.24,374.06,345.96,296.37,309.11,315.41,312.18,390.15,352.79,355.81,346.32,330.14,392.68,372.64,384.03,377.01,350.3,358.77,411.92,404.5,348.27,396.78,421.06,405.79,435.69,346.77,364.16,352.85,434.46,397.73,398.77,456.48,375.68,410.22,441.55,355.57,409.33,405.8,415.81,405.15,389.45,399.34,407.35,416.28,418.8,394.61,361.9,370.95,415.17,384.83,415.07,417.69,421.69,389.91,378.6,384.07,400.55,392.24,420.71,312.29,343.93,319.36,356.87,342.79,433.59,463.92,462.29,425.33,413.2,451.29,522.53,423.42,437.93,471.42,416.37,386.64,445.01,388.39,502.62,630.11,426.38,434.98,403.07,492.3,367.88,381.67,409.17,417.18
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Educational services [61] ,Both sexes,15 to 24 years,159.9,106.94,104.4,130.16,300.05,340.45,357.09,370,195.12,274.96,229.35,172.98,139.17,212.74,120.9,118.94,331.85,283.82,354.02,281.05,207.3,82.33,72.74,89.37,151.01,174.93,240.2,166.85,127,205.41,258.64,308.18,207.38,173.84,194.85,158.47,183.42,184.58,269.67,208.46,280.89,363.91,437.36,319.6,195.9,193.03,151.43,164.85,148.75,251,312.17,356.28,465.83,393.12,398.06,387.79,355.35,302.47,307.2,283.48,325.84,318.87,157.05,141.46,333.88,355.62,401.95,537.57,284.64,224.94,238.41,221.44,99.69,129.27,121.94,105.39,223.66,263.72,326.69,414.16,180.51,131.29,157.72,149.01,193.16,165.69,252.9,323.67,285.22,359.32,299.29,293.49,244.58,165.84,163.98,123.83,215.65,245.21,232.53,202.68,307.79,358.49,356.74,422.05,217.87,157.23,192.02,140.41,262.21,262.3,326.03,358.95,377.17,318.34,405.02,291.41,296.79,195.32,175.18,173.8,167.13,204.47,300.34,268.91,185.62,305.36,377.65,377.74,232.87,221.18,224.57,250.55,272.73,386.7,214.23,173.59,348.1,425.15,437.88,528.63,259.95,304.09,242,267.06,365.57,253.79,174.4,171.93,227.76,249.05,380.67,463.36,214.3,240.37,323.94,255.22,139.97,107.73,187.67,613.32,257.74,290.87,318.53,464.92,309.53,372.64,345.26,300.29,371.56,154.37,238.18,279.61,273.48,327.83,373.47,432.35,182.83,217.26,203.98,164.03,161.02
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Health care and social assistance [62] ,Both sexes,15 to 24 years,220.25,240.71,296.99,272.76,315.87,305.14,274.16,295.73,244.42,234.13,208.71,206.01,260.16,326.16,304.98,359.24,365.62,337.7,423.45,387.06,296.08,282.03,337.86,305.98,330.06,339.6,318.74,295.58,272.73,325.41,308.64,292.12,299.94,404.37,419.41,422.99,327.91,334.73,323.13,336.91,344.68,299.98,315.44,309.39,343.65,322.8,333.33,308.01,277.88,287.73,300.54,306.58,381.33,410.57,366.93,325.07,409.11,394.47,447.62,380.08,481.94,499.59,505.18,410.23,384.1,341.54,314.17,287.3,295.58,369.14,374.83,345.21,359.28,395.29,394.29,404.93,379.69,446.34,470.4,414.35,373.53,294.38,333.69,375.41,375.57,411.44,434.63,447.14,405.8,422.26,424.75,412.45,435.41,432.35,458.04,432.46,464.73,379.36,364.52,348.23,299.83,328.49,401.15,374.47,476.53,479.23,537.39,501.01,510.62,570.08,510.34,512.33,549.77,492.17,509.99,472.72,445.91,534.82,475.94,430.74,422.3,451.07,533.39,424.43,373.96,388.01,401.43,396.71,388.88,432.15,494.33,471.93,538.02,547.22,564.52,560.49,459.14,508.08,501.43,509.64,480.77,504.04,545,624.5,602.52,591.7,571.71,573.6,540.5,458.23,581.02,565.76,622.06,591.28,627.1,529.92,455.08,452.34,385.51,320.75,516.27,485.66,499.67,551.9,602.66,465.82,498.92,508.92,534.78,564.74,559.63,578.96,595.21,596.09,588.31,590.61,550.15,628.33,659.01,637.11,705.48
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,"Information, culture and recreation [51 71] ",Both sexes,15 to 24 years,139.46,133.74,149.73,222.17,202.4,246.17,276.33,260.12,180.19,139.26,152.89,175.45,178.32,169.96,179.09,191.72,209.94,193.16,206.75,218.03,220.59,205.37,220.45,206.36,178.17,181.38,151.96,236.58,220.64,272.79,286.95,248.95,285.03,227.04,194.46,70.74,126.88,164.28,153.78,248.95,241.31,239.04,253.78,269.3,256.46,186.76,250.75,218.51,230.17,299.28,315.72,243.33,191.91,222.68,284.65,260.43,243.66,271.21,292.67,289.47,234.32,232.76,236.29,183.44,140.57,228.74,249.3,251.46,210.45,201.6,155.5,180.14,141.81,137.06,147.28,163.08,169.48,225.82,276.94,279.65,166.41,227.74,227.07,244.5,258.4,267.61,247.64,236.3,242.48,292.72,318.8,337.85,302.36,283.69,157.23,186.5,175.35,160.79,183.77,151.77,197.05,296.82,371.85,341.51,315.79,320.9,297.19,223.32,189.84,273.01,296.84,269.53,359.62,404.35,431.64,399.36,417.36,359.16,566.2,517.06,479.08,341.66,333.01,265.84,272.15,265.84,323.61,309.03,227.36,239.19,240.8,310.84,177.27,237.4,266.27,209.2,270.73,331.98,373.26,319.73,236.03,279.4,239.71,218.32,204.38,199.17,184.92,219.41,321.33,308.82,383.08,340.86,356.92,367.37,283.05,338.86,274.22,217.76,197.33,261.61,274.79,300.79,378.54,367.21,242.2,260.51,256.69,194.26,213.62,249.26,310.66,250.64,264.3,354.82,331.27,383.12,198.13,200.34,203.86,241.4,231.59
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Accommodation and food services [72] ,Both sexes,15 to 24 years,155.28,151.36,167.3,184.45,201.31,202.48,209.07,196.71,154.13,176.97,188.48,181.17,167,159.86,174.7,156.38,215.83,209.36,220.5,224.11,184.11,159.05,162.67,160.02,159.3,159.04,147.83,184.16,181.83,185.02,212.21,203.37,181.36,196.9,205.09,214.24,200.96,200.4,206.73,187.07,200.96,227.52,214.96,224.03,184.29,180.52,173.83,181.98,151.69,186,163.44,162.74,182.77,198.03,213.66,231.3,190.98,208.1,214.43,204.16,213,207.04,193.95,197.85,201.67,206.85,243.78,230.95,200.31,199.73,202.48,181.13,177.77,181.36,188.03,187.2,199.11,213.49,236.57,265.89,221.3,199.47,211.78,184.06,196.69,201.01,219.43,222.45,234.2,237.95,258.5,257.11,210.03,211.15,203.24,213.13,197.32,206.88,219.27,213.04,212.79,236.18,250.28,292.74,229.66,229.32,262.12,241.64,228.36,193.3,193.83,204.31,216.73,244.17,287.42,271.51,258.16,263.53,239.02,260.29,218.97,241.62,231.96,238.57,253.37,284.18,285.13,312.41,261.08,281.86,256.32,256.78,260.33,264.49,269.68,243.26,273.07,282.76,287.01,302.72,286.86,290.27,270.62,243.5,223.2,209.31,231.65,251.17,269.81,259.87,274.48,279.67,248.29,243.77,252.54,276.94,263.56,288.22,260.15,263.26,303.98,305.65,341.8,321.08,281.74,269.77,250.74,249.67,275.39,263.41,271.53,258.96,283.02,328.27,325.32,326.61,295.36,285.23,268.26,273.95,246.42
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Other services [81] ,Both sexes,15 to 24 years,239.58,295.77,293.97,259.16,278.16,273.19,256.27,262.94,261.66,231.54,221.79,232.96,233.51,263.71,198.17,266.64,228.36,255.44,281.62,267.23,317.93,347.35,303.82,199.42,135.7,121.78,174.93,220.52,191.06,203.67,243.39,277.72,224.28,210.63,221.45,207.2,193.29,265.41,208.74,292.1,208.01,319.57,317.45,263.32,424.64,530.75,294.85,272.83,244.46,273.91,249.66,247.99,297.46,304.66,330.63,331.4,361.62,344.17,324.23,271.41,268.35,243.62,219.27,238.16,266.59,261.91,321.81,316.89,305.73,270.79,261.92,366.29,358.48,363.97,315.05,319.82,325.84,285.17,313.81,315.56,253.18,255.41,210.44,307.48,268.66,261.99,259.81,203.53,221.58,272.26,260.55,323.54,264.63,332.53,315.14,292.06,309.55,297.81,312.06,234.76,287.17,338.48,320.62,289.57,303.68,330.22,284.77,307.67,220,337.89,338.75,357.26,327.53,367.39,338.77,317.06,384.43,307.2,287.73,384.12,391.54,384.55,318.96,318.17,289.41,386.62,354.6,397.64,273.03,185.76,279.42,272.89,224.27,215.59,287.94,232.01,332.83,368.55,432.74,425.79,423.42,434.53,536.87,339.97,320.5,418.26,434.9,575.81,503.16,426.07,429.27,572.99,598.22,570.68,469.69,442.58,385.67,397.36,435.41,462.44,275.12,338.81,334.11,392.24,358.55,469.89,506.19,565.52,527.48,601.02,512.49,437.53,360.54,454.42,484.91,486.22,522.95,466.38,438.27,510.09,505.22
Nova Scotia,Average weekly wage rate,Both full- and part-time employees,Public administration [91] ,Both sexes,15 to 24 years,316.19,317.17,227.67,191.79,324.11,340.72,320.4,353.86,227.19,439.37,460.52,298.15,245.99,309.25,324.92,285.75,257.7,315.67,304.25,314.72,305.87,197.22,383.03,269.12,407.25,x,366.7,306.79,309.28,334.54,351.75,317.98,361.38,318.16,193.77,281.92,114.95,217.42,377.27,686.44,396.77,377.18,409.69,419.04,427.56,426.84,502.42,435.85,362.53,352.56,364.1,135.37,296,436.41,374.63,379.48,427.88,357.8,303.92,253.62,111.35,171.79,213.29,46.4,259.56,337.27,354.6,370.32,112.25,437.17,443.85,312.59,367.93,412.11,390.46,192.56,469.04,430.43,365.09,414.76,292.22,336.72,341.57,240.41,178.96,202.98,184.57,323.81,390.55,437.36,463.11,485.81,498.35,472.26,503.67,385.91,342.42,308.92,289.49,275.01,406.91,402.4,519.15,467.3,383.8,176.89,250.13,336.14,181.5,276.59,264.03,217.92,410.85,489.47,472.89,521.87,494.61,522.17,513.37,619.86,534.17,515.26,546.33,385.28,429.72,399.06,428,465.24,543.16,353.77,494.2,434.57,522.73,556.82,614.87,476.93,359.1,572.91,570.11,559.14,295,234.8,x,x,696.92,621.81,716.13,x,x,357.91,474.64,456.1,389.02,430.39,213.23,x,x,x,x,x,608.22,494.46,526.99,558.1,x,x,x,x,x,418.45,658.78,503.5,712.03,645.51,489.9,471.02,227.69,271.14,272.77,599.59,x
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Agriculture [111-112 1100 1151-1152]  (11),Both sexes,15 to 24 years,352.66,302.06,308.93,272.95,256.12,265.93,302.4,340.23,319.7,324.51,281.38,300.99,195.42,353.71,x,308.44,252.74,306.64,317.83,248.29,338.94,366.59,320.33,225.98,x,x,287.66,124.9,268.08,303.28,317,363.56,269.8,404.06,453.79,444.65,378.39,426.8,395.45,274.74,394.66,275.22,270.67,353.43,321.07,366.66,x,x,x,333.29,403.57,320.17,345.98,266.11,226.3,273.78,375.5,328.83,279.28,425.43,x,x,x,344.31,319.93,327.94,342.65,325.65,409.67,355.61,358.59,277.48,311.09,251.47,x,225.45,259.54,279.63,330.65,401.58,348.04,283.84,x,x,x,x,x,x,461.24,422.28,370.09,392.06,655.3,476.1,x,x,x,x,690.66,214.42,287.64,342.89,272.01,362.06,287.34,283.13,374.12,331.72,415.66,442.46,480.34,429.48,383.02,381.9,330.42,385.14,90.66,x,233.49,x,x,407.05,430.26,415.13,396.68,414.3,415.34,395.3,378.91,404.25,363.98,277.76,355.57,265.97,260.51,324.78,285.59,388.8,345.73,330.71,476.04,715.28,384.03,626.26,443.63,499.87,x,x,511.75,411.36,483.4,411.2,x,374.65,x,x,x,x,x,452.54,461.89,x,444.31,314.55,416.15,331.62,464.84,x,x,x,x,303.44,346.98,513.61,472.49,497.76,x,458.03,x,x,x
New Brunswick,Average weekly wage rate,Both full- and part-time employees,"Forestry, fishing, mining, quarrying, oil and gas [21 113-114 1153 2100]  (12,13)",Both sexes,15 to 24 years,327.42,x,323.36,371.64,466.67,485.1,426.82,487.9,444.44,457.48,321.8,496.11,508.57,640.43,x,443.93,453.44,401.95,371.36,451.15,426,442.31,459.31,560.86,652.42,612.26,x,x,420.01,418.32,352.19,382.6,610.95,751.23,439.35,x,x,x,566.26,572.49,474.21,442.54,472.11,444.3,595.06,578.97,496.24,485.37,521.96,553.86,528.83,457.7,480.93,513.54,513.34,515.81,x,777.7,756.09,707.81,685.33,x,456.42,399.68,544.07,574.74,431.99,450.48,425.16,465.92,423.44,x,595.54,763.56,695.52,x,611.93,641.11,657.35,757.87,677.02,587.17,x,x,644.47,x,x,x,551.02,440.41,751.81,x,957.58,618.88,x,x,561.01,x,x,x,461.6,654.24,629.22,653.17,796.07,x,805.9,x,x,x,478.85,x,780.67,705.33,443.94,437.21,x,x,x,x,x,x,x,596.57,619.75,558.4,556.25,572.59,794.15,x,686.48,x,x,x,x,871.68,830.62,856.33,908.78,866.37,885.07,x,x,x,495.96,x,x,x,654.08,609.15,594.22,700.87,834.83,x,x,x,x,x,x,857.57,717.81,752.19,599.62,545.72,592.34,582.85,609.44,480.42,432.54,450.87,542.82,478.19,346.32,413.9,435.24,x,814.28,633.19,533.21,702.22,x
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Utilities [22] ,Both sexes,15 to 24 years,x,x,x,x,x,x,283.97,347.42,x,x,x,x,x,x,x,x,x,433.26,416.74,590.51,514.08,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,496.51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,500.09,x,x,x,447.06,377.48,527.53,580.96,x,x,x,x,x,x,x,x,x,710.26,657.92,x,x,x,x,x,x,x,x,x,755.43,754.5,x,x,x,577.85,x,x,x,x,x,x,x,x,x,552.73,x,x,581.1,x,x,x,x,x,653.1,678.02,445.53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Construction [23] ,Both sexes,15 to 24 years,375.51,412.92,453.32,412.9,405.46,336.02,380.74,411.2,403.43,404.09,378.51,418.39,357.31,381.66,366.73,346.71,314.33,379.74,420.24,423.08,424.48,437.4,391.2,349.56,264.62,367.29,337.49,519.55,434.35,385.17,444.11,415.82,431.27,416.23,502.42,478.43,436.74,435.15,446.18,482.71,401.02,447.49,390.74,389,465.12,432.71,444.21,423.6,433.81,438.17,433.97,402.42,467.32,386.45,382.94,374.74,407.76,401.59,445.93,461.95,483.52,428.26,426.22,469.64,459.56,386.83,410.6,389,401.77,414.46,412.96,399.49,351.01,390.69,449.01,413.07,428.83,415.61,470,450.53,486.89,481.01,548.16,448.69,510.24,446.56,480.68,522.14,470.02,444.63,470.65,449.85,421.68,457.55,486.86,447.19,438.69,489.7,490.22,531.93,602.19,528.07,488.47,517.84,655.15,627.04,566.05,576.1,605.82,752.47,565.54,542.87,590.17,617.89,574.54,612.72,648.13,597.39,625.48,548.03,562.81,538.54,576.57,523.86,535.17,549.27,558.16,578.43,596.66,602.73,669.87,615.57,603.18,524.7,549.64,619.58,628.91,598.73,568.22,588.72,567.67,758.52,636.89,664.37,580.98,575.63,567.56,486.77,522.61,521.59,589.61,629.9,758.87,709.24,710.45,659.91,749.61,662.64,708.59,688.02,787.68,717.04,612.26,693.72,660.4,631.96,662.12,617.63,690.01,667.18,557.78,627.1,662.45,681.51,610.72,593.96,505.77,635.81,592.17,587.54,637.35
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Manufacturing [31-33] ,Both sexes,15 to 24 years,343.02,358.66,410.47,387.21,343.8,353.78,384.35,381.46,386.94,372.23,343.01,360.39,362.5,329.89,375.55,381.36,372.81,380.83,414.48,387.99,390.55,375.06,379.75,433.1,424.03,416.21,430.78,416.68,394.17,393.95,400.6,399.04,388.38,429.08,400.68,434.5,455.76,393.54,400.27,410.69,414.91,399.32,408.26,402.54,396.46,388.35,407.69,416.52,400.76,440.64,452.46,371.58,411.76,390.89,418.57,422.47,423.61,409.4,387.27,370.5,431.43,410.21,403.42,426.12,444.38,469.44,410.65,389.14,455.59,454.82,477.86,426.15,466.77,471.53,425.66,404.37,370.67,444.16,467.36,466.53,454.41,417.86,470.19,487.12,472.19,481.44,488.16,539.85,496.87,495.38,496.83,447.42,449.87,506.35,488.25,459.41,489.12,507.81,482.63,489.63,447.87,428.37,481.39,414.29,454.39,505.75,519.64,518.5,483.25,539.37,463.11,464.21,451.78,518.37,531.65,419.18,611.08,563.36,592.84,534.17,522.76,501.35,521.25,523.86,523.38,506.56,490.58,494.86,484.76,478.32,438.59,475.92,545.41,512.68,491.46,499.42,452.89,522.91,507.02,547.23,611,482.42,457.47,485.58,578.07,504.05,529.17,537.54,545.63,537.21,487.48,513.97,584.96,609.22,567.98,601.04,511.54,508.25,545.42,520.87,522.05,569.51,570.15,555.2,579.46,662.95,673.83,651.02,661.89,663.91,667.72,566.67,611.75,602.52,627.62,554.86,556.91,560.13,528.78,487.78,490.3
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Trade [41 44-45] ,Both sexes,15 to 24 years,171.55,205.04,189.99,178.92,188.98,202.87,239.54,263.69,217.34,204.01,194.69,188,195.2,202.73,211.27,194.13,217.62,241.23,238.35,234.55,204.75,179.28,183.36,175.48,165.9,167.83,178.19,187.56,183.32,206.14,235.13,245.02,207.24,194.55,191.93,198.98,192.64,187.43,201.15,210.17,212.9,224.67,238.12,239.92,205.04,193.38,204.38,172.86,178.97,190.09,175.67,184.89,182.79,220.4,232.55,245.59,218.8,210.12,194.93,187.21,196.34,176.98,209.92,214.4,200.81,221.41,254.1,249.38,220.83,217.7,206.86,185.68,193.25,185.19,203.75,202.16,212.99,217.73,243.37,261.49,245.23,214.74,208.93,201.95,202,179.31,184.26,191.48,207.47,241.21,258.57,259.96,206.59,222.39,216.02,202.45,207.41,208.12,207.97,215.56,232.89,253.83,268.65,247,206.21,202.76,199.49,204.49,209.29,212.02,195.17,188.94,213.97,236.49,254.6,250.03,240.07,244.51,225.12,220.06,197.33,208.95,218,238.94,250.04,254.61,273.2,282.02,268.33,250.58,226.82,235.3,239.32,213.04,211.77,244.96,268.81,272.15,303.99,299.66,264.21,256.28,251.58,270.21,266.35,252.44,246.63,249.24,256.95,277.47,297.16,288.3,270.9,254.3,227.77,233.77,231.63,241.4,235.81,220.77,243.15,292.65,271.85,262.01,235.6,256.03,280.49,276.35,245.53,242.52,228.89,278.33,280.36,302.77,319.9,324.82,264.41,237.81,246.9,272.08,266.62
New Brunswick,Average weekly wage rate,Both full- and part-time employees,Transportation and warehousing [48-49] ,Both sexes,15 to 24 years,465.37,413.9,410.62,434.29,395.9,385.73,357.38,346.02,330.07,327.76,380.89,382.03,420,375.38,416.53,392.12,384.26,380.76,404.47,382.59,572.49,498.98,398.18,391.18,374.39,413.66,440.75,388.09,399.82,480.73,470.23,484.08,471.36,538.49,475.38,468.16,414.6,521.28,426.09,434.98,435.89,442.82,424.61,396.3,429.27,373.04,464.72,520.12,511.13,459.57,371.78,394.82,474.06,427.59,397.28,420.93,375,329.42,391.08,367.09,324.21,292.32,343.64,388.18,386.27,368.47,372.05,435.55,598.41,411.04,353.95,437.44,472.6,446.62,437.49,510.01,436.24,407.25,386.65,404.5,489.4,x,342.71,397.6,467.32,442.89,520.82,477.75,468.62,397.43,383.59,301.87,323.21,367.34,304.08,394.67,273.02,256.81,291.46,453.08,493.5,440.87,405.83,410.01,391.72,438.43,420.22,438.87,395.61,443.73,440.63,426.69,455.85,392.16,422.49,407.4,494.89,452.84,485.9,479.18,471.83,488.57,381.64,x,515.84,x,664.89,592.91,709.05,790.56,496.07,414.62,589.86,523.17,x,781.35,x,558.03,418.33,442.36,478.72,568.09,542.48,488.22,560.44,610.86,566.8,592.18,634.07,x,428.37,416.6,610.55,x,x,x,576.44,598.09,335,537.07,800.28,513.99,600.81,486.37,589.38,744.76,523.44,474.43,553.5,514.09,x,523.64,581.35,598.76,568.3,645.07,612.29,576.24,628.21,396.07,513.2
